;sizes;Matrix;Index
0;10;0.0004980564117431641;0.0003132820129394531
1;100;0.0028753280639648438;0.002560853958129883
2;200;0.001970052719116211;0.004765987396240234
3;400;0.012101888656616211;0.010998010635375977
4;600;0.028634071350097656;0.018133878707885742
5;800;0.06536507606506348;0.02726125717163086
6;1000;0.1259779930114746;0.04054403305053711
7;2000;0.9751062393188477;0.1590440273284912
8;4000;7.66455078125;0.48454809188842773
9;6000;25.266414880752563;1.0363779067993164
10;8000;62.41102409362793;1.7656209468841553
11;10000;122.05578303337097;2.507719039916992
